时间,经度,纬度,速度,方向,高程
2017-01-01,91.51909509543914,23.947419978550222,82.79187320379803,44.928752346059895,33.028804273835775
2017-01-02,77.14540595148786,57.56921874716055,55.74853516430899,21.291622238773687,23.307022489336106
2017-01-03,3.663004479164278,92.44556055957874,32.02786489455769,7.577842121176825,17.669661557345528
2017-01-04,99.68888624473048,93.30475173658154,67.79249360598129,21.24577060575209,73.87625305128346
2017-01-05,33.797980256397985,19.172669862559356,59.277823683785634,49.82060799898924,85.06353445768991
2017-01-06,3.3456230063105497,79.30112146906595,20.591401616050177,78.67367841721993,98.73691543626452
2017-01-07,10.240887928981412,64.22517859953663,44.09616478909258,69.53097302957858,31.47361807584317
2017-01-08,67.21009302791879,54.82962820842281,69.56461468960413,34.00735511177334,85.06529294767526
2017-01-09,96.84325726063102,23.53964480090054,46.05804895901979,42.713708100017634,97.83671784457688
2017-01-10,16.97922395628394,98.09571173834148,34.528534103969555,45.21372911415335,52.53567551722629
2017-01-11,60.00779921392094,35.73438344535502,98.0136516647096,11.17387524644382,54.32472736016087
2017-01-12,0.27571898847764675,90.69026909984791,34.14463615347747,13.618150461687728,18.73773781810414
2017-01-13,91.94567827650945,4.280397257725543,42.82516858289779,59.420732820036314,98.82707456585361
2017-01-14,95.3049883061989,45.772105010867705,45.54757098331129,20.017122695684797,17.463999860494773
2017-01-15,38.295830968007415,24.219369348643795,12.193325164119361,47.2737405148858,99.53505875975019
2017-01-16,85.13375804149837,64.32090142128705,70.7495061278964,1.0228630405863748,60.35382448059781
2017-01-17,33.19453792379623,75.66873467518943,85.11320173219131,84.67621109337986,49.29152812789199
2017-01-18,5.26713255796415,62.811741501412456,49.52190030053143,36.99476112230293,24.493805156862148
2017-01-19,20.906756885360988,51.94382159533236,72.59642393638951,67.57301073951497,75.02004019687438
2017-01-20,72.50278266437635,14.846869706641497,44.283109758513106,96.0338451148029,69.62300745399583
2017-01-21,18.732344697481494,72.06244370993274,37.505545036931274,76.56647451736792,70.07352596844291
2017-01-22,93.12959953567758,53.954716200054065,25.166487188908782,79.03622826292411,76.60092426262199
2017-01-23,69.63869027450761,17.263776942555175,23.45483050335201,44.71382537315137,67.18987738625191
2017-01-24,42.03730909490175,2.475000960569873,29.2922899158503,65.83362806072658,74.79178093626865
2017-01-25,51.298037983925425,89.21788176645805,6.397207136468275,36.26281935259911,4.400048861275263
2017-01-26,17.555655341505016,97.92847827075933,19.07750820492421,66.12684133781694,37.56794574272077
2017-01-27,93.7132258433491,10.834773988792556,53.83797038107486,47.60245634470177,83.65371864500673
2017-01-28,93.02831683899858,29.6670931500945,34.012848679390885,21.973287147764474,28.469020792902665
2017-01-29,81.14547164842257,25.30091282886111,79.4525619872592,22.75303704682767,50.037574927377825
2017-01-30,67.07180446016964,98.6327324307265,21.287991824296203,96.29701000655277,79.99585513193307
