时间,经度,纬度,速度,方向,高程
2021-01-01,81.18978232802057,29.516074173884366,32.87406724551518,65.95057678791197,66.61759267506605
2021-01-02,66.4994183743635,12.674173689809798,99.89694754810922,48.543131002842834,25.86631892438299
2021-01-03,52.92352654211584,92.80212908685658,54.87461782535695,95.29588350100924,43.579081936422384
2021-01-04,26.939838771499357,6.2777252083837665,66.18089270887387,62.24746669664793,67.53527761126568
2021-01-05,69.26852812697464,51.12101696884527,13.198444211378957,23.142528428061272,60.25836325341778
2021-01-06,53.082691997603725,26.00590680587269,77.9910123003922,48.84622975527362,86.3225161685609
2021-01-07,40.61403914407716,72.59936605279897,82.53740350784919,63.99204806542927,86.04281518504948
2021-01-08,63.019154959922986,80.3292048419886,4.018939186287196,65.29934801065434,96.33344876649576
2021-01-09,81.75220353951075,57.22122030582927,43.55917020559345,17.167880994291483,15.468685264223714
2021-01-10,51.333791450306656,89.1349292616259,25.441614456756966,4.423139970396239,42.2207662593417
2021-01-11,81.9127320333172,3.720123268093256,74.3002013989907,98.49938026002445,40.44620130321367
2021-01-12,36.93469740248595,54.10059738172701,91.64755525500502,36.386630537904686,58.59371478781128
2021-01-13,52.840642592852525,82.21241823680018,81.72460271324807,71.98576969986141,61.28874182396247
2021-01-14,36.586285366317064,54.963531030168134,69.45228591473635,47.86765544473954,88.77873755968443
2021-01-15,8.002422781635099,59.26452510173934,67.82768965778348,74.40043244027582,91.12231062484989
2021-01-16,16.258925328293692,67.7918493789354,77.67557730861516,98.31222186017399,23.2918385524992
2021-01-17,75.6216797027786,84.32666060885113,47.667778770793504,31.980971620849797,66.67750370500892
2021-01-18,7.548841130772788,85.87581648116951,82.17162286293964,71.29994580003999,88.76107030068245
2021-01-19,60.16328429290151,32.923570051815446,29.201282821071274,87.74755764935473,63.45820287379348
2021-01-20,86.71290116063578,41.62595003520567,45.66961608528328,97.39098991598085,94.00434832470033
2021-01-21,51.833944359549356,5.456626670602882,57.133041715376834,84.92770013490386,12.46044871128802
2021-01-22,67.53789756207522,52.80424823171966,22.786330579109958,6.441164660812559,46.42904281765177
2021-01-23,87.38461074125439,49.18577863461859,44.635356549803774,85.6259504375582,8.154629970491234
2021-01-24,41.86096440527035,66.50842529113983,34.057065421614006,86.47443577056993,16.20820885651262
2021-01-25,96.83313281662635,27.71695624422771,83.2294956168566,50.45402499945835,86.22859090733846
2021-01-26,42.36223542288096,94.75054950174182,4.040367523064125,11.446769369265663,56.315140313551346
2021-01-27,67.85552820510496,76.12115645783881,88.5385513893936,19.550054110693683,41.795045272649745
2021-01-28,77.32187355100886,94.771755454102,9.391190525846415,34.83020834084497,99.8471381578602
2021-01-29,71.03286983733803,22.439193843957163,28.07556531416705,42.55368662885077,55.03307011521994
2021-01-30,93.174723159602,13.72518628781646,3.035963005653086,69.6299618947923,14.026291525711942
